-0.02944	1.7767
-0.02943	1.7772
-0.02942	1.7772
-0.02941	1.7777
-0.0294	1.7781
-0.02939	1.7779
-0.02938	1.7783
-0.02937	1.779
-0.02936	1.7793
-0.02935	1.7793
-0.02934	1.7795
-0.02933	1.7799
-0.02932	1.7802
-0.02931	1.7806
-0.0293	1.7811
-0.02929	1.7799
-0.02928	1.7793
-0.02927	1.7793
-0.02926	1.7802
-0.02925	1.7793
-0.02924	1.7788
-0.02923	1.779
-0.02922	1.7786
-0.02921	1.7788
-0.0292	1.7786
-0.02919	1.779
-0.02918	1.7795
-0.02917	1.779
-0.02916	1.7793
-0.02915	1.7795
-0.02914	1.7799
-0.02913	1.7799
-0.02912	1.7799
-0.02911	1.7799
-0.0291	1.7802
-0.02909	1.782
-0.02908	1.7827
-0.02907	1.7831
-0.02906	1.7827
-0.02905	1.785
-0.02904	1.7852
-0.02903	1.7864
-0.02902	1.7873
-0.02901	1.788
-0.029	1.7882
-0.02899	1.7886
-0.02898	1.7886
-0.02897	1.7893
-0.02896	1.7898
-0.02895	1.79
-0.02894	1.79
-0.02893	1.7902
-0.02892	1.7909
-0.02891	1.7918
-0.0289	1.7923
-0.02889	1.793
-0.02888	1.7932
-0.02887	1.7934
-0.02886	1.7934
-0.02885	1.793
-0.02884	1.7937
-0.02883	1.7939
-0.02882	1.7948
-0.02881	1.795
-0.0288	1.796
-0.02879	1.7962
-0.02878	1.7967
-0.02877	1.7964
-0.02876	1.7962
-0.02875	1.7967
-0.02874	1.7973
-0.02873	1.7983
-0.02872	1.798
-0.02871	1.7983
-0.0287	1.7983
-0.02869	1.7983
-0.02868	1.7985
-0.02867	1.7992
-0.02866	1.7999
-0.02865	1.8003
-0.02864	1.8005
-0.02863	1.8001
-0.02862	1.8001
-0.02861	1.8003
-0.0286	1.8005
-0.02859	1.8015
-0.02858	1.8021
-0.02857	1.8033
-0.02856	1.8044
-0.02855	1.8044
-0.02854	1.8044
-0.02853	1.8047
-0.02852	1.8056
-0.02851	1.8056
-0.0285	1.8058
-0.02849	1.8058
-0.02848	1.8031
-0.02847	1.8035
-0.02846	1.8037
-0.02845	1.8044
-0.02844	1.8049
-0.02843	1.8053
-0.02842	1.8051
-0.02841	1.8058
-0.0284	1.8063
-0.02839	1.8058
-0.02838	1.8056
-0.02837	1.8053
-0.02836	1.8056
-0.02835	1.8058
-0.02834	1.8063
-0.02833	1.8056
-0.02832	1.806
-0.02831	1.8065
-0.0283	1.8074
-0.02829	1.8086
-0.02828	1.8115
-0.02827	1.812
-0.02826	1.8124
-0.02825	1.8127
-0.02824	1.8129
-0.02823	1.8136
-0.02822	1.8147
-0.02821	1.8147
-0.0282	1.8152
-0.02819	1.8159
-0.02818	1.817
-0.02817	1.8179
-0.02816	1.8182
-0.02815	1.8186
-0.02814	1.8191
-0.02813	1.82
-0.02812	1.82
-0.02811	1.8202
-0.0281	1.8198
-0.02809	1.8191
-0.02808	1.8198
-0.02807	1.82
-0.02806	1.8207
-0.02805	1.8214
-0.02804	1.8223
-0.02803	1.8227
-0.02802	1.8232
-0.02801	1.8234
-0.028	1.8237
-0.02799	1.8239
-0.02798	1.8239
-0.02797	1.8241
-0.02796	1.8246
-0.02795	1.8253
-0.02794	1.8259
-0.02793	1.8264
-0.02792	1.8269
