Time_(sec),Volume_(cm3),Temperature_(K),Pressure_(bar)
        0.000000000000000,        391.2519000000000,        408.0000000000000,        1.641100000000000
    8.849120000000000E-05,        391.2476000000000,        408.0015000000000,        1.641125000000000
    0.0001822266000000000,        391.2338000000000,        408.0064000000000,        1.641202000000000
    0.0002757451000000000,        391.2106000000000,        408.0144000000000,        1.641334000000000
    0.0003693958000000000,        391.1778000000000,        408.0258000000000,        1.641518000000000
    0.0004648164000000000,        391.1345000000000,        408.0408000000000,        1.641761000000000
    0.0005596028000000000,        391.0818000000000,        408.0590000000000,        1.642056000000000
    0.0006551527000000000,        391.0188000000000,        408.0808000000000,        1.642409000000000
    0.0007496568000000000,        390.9467000000000,        408.1057000000000,        1.642813000000000
    0.0008000000000000000,        390.9044000000000,        408.1204000000000,        1.643050000000000
    0.0008962829000000000,        390.8157000000000,        408.1510000000000,        1.643548000000000
    0.0009914263000000000,        390.7181000000000,        408.1848000000000,        1.644095000000000
     0.001086257000000000,        390.6111000000000,        408.2217000000000,        1.644695000000000
     0.001180090000000000,        390.4957000000000,        408.2617000000000,        1.645343000000000
     0.001273291000000000,        390.3715000000000,        408.3046000000000,        1.646040000000000
     0.001366902000000000,        390.2373000000000,        408.3511000000000,        1.646795000000000
     0.001460582000000000,        390.0935000000000,        408.4009000000000,        1.647604000000000
     0.001552793000000000,        389.9426000000000,        408.4531000000000,        1.648453000000000
     0.001600000000000000,        389.8618000000000,        408.4811000000000,        1.648908000000000
     0.001694123000000000,        389.6934000000000,        408.5395000000000,        1.649857000000000
     0.001786755000000000,        389.5183000000000,        408.6001000000000,        1.650845000000000
     0.001879333000000000,        389.3340000000000,        408.6641000000000,        1.651885000000000
     0.001972583000000000,        389.1390000000000,        408.7318000000000,        1.652988000000000
     0.002063492000000000,        388.9398000000000,        408.8010000000000,        1.654116000000000
     0.002155290000000000,        388.7295000000000,        408.8741000000000,        1.655307000000000
     0.002247455000000000,        388.5091000000000,        408.9507000000000,        1.656557000000000
     0.002338896000000000,        388.2814000000000,        409.0299000000000,        1.657851000000000
     0.002400000000000000,        388.1242000000000,        409.0847000000000,        1.658746000000000
     0.002495266000000000,        387.8709000000000,        409.1729000000000,        1.660187000000000
     0.002585396000000000,        387.6223000000000,        409.2596000000000,        1.661605000000000
     0.002675464000000000,        387.3650000000000,        409.3494000000000,        1.663075000000000
     0.002765585000000000,        387.0987000000000,        409.4424000000000,        1.664598000000000
     0.002855659000000000,        386.8238000000000,        409.5385000000000,        1.666173000000000
     0.002943898000000000,        386.5459000000000,        409.6357000000000,        1.667767000000000
     0.003032084000000000,        386.2598000000000,        409.7359000000000,        1.669412000000000
     0.003120661000000000,        385.9638000000000,        409.8396000000000,        1.671115000000000
     0.003200000000000000,        385.6915000000000,        409.9351000000000,        1.672686000000000
     0.003291713000000000,        385.3682000000000,        410.0486000000000,        1.674554000000000
     0.003378591000000000,        385.0536000000000,        410.1592000000000,        1.676375000000000
     0.003465315000000000,        384.7313000000000,        410.2727000000000,        1.678244000000000
     0.003552322000000000,        384.3997000000000,        410.3894000000000,        1.680171000000000
     0.003637953000000000,        384.0654000000000,        410.5073000000000,        1.682118000000000
     0.003724760000000000,        383.7184000000000,        410.6299000000000,        1.684142000000000
     0.003811055000000000,        383.3653000000000,        410.7546000000000,        1.686207000000000
     0.003897321000000000,        383.0042000000000,        410.8824000000000,        1.688322000000000
     0.003983938000000000,        382.6335000000000,        411.0137000000000,        1.690499000000000
     0.004000000000000000,        382.5639000000000,        411.0384000000000,        1.690908000000000
     0.004084530000000000,        382.1928000000000,        411.1700000000000,        1.693093000000000
     0.004169745000000000,        381.8108000000000,        411.3057000000000,        1.695347000000000
     0.004255394000000000,        381.4190000000000,        411.4450000000000,        1.697664000000000
     0.004341362000000000,        381.0177000000000,        411.5880000000000,        1.700044000000000
     0.004426236000000000,        380.6136000000000,        411.7321000000000,        1.702446000000000
     0.004511156000000000,        380.2015000000000,        411.8792000000000,        1.704901000000000
     0.004594936000000000,        379.7872000000000,        412.0273000000000,        1.707375000000000
     0.004677947000000000,        379.3693000000000,        412.1770000000000,        1.709878000000000
     0.004762410000000000,        378.9363000000000,        412.3322000000000,        1.712478000000000
     0.004800000000000000,        378.7411000000000,        412.4023000000000,        1.713652000000000
     0.004885740000000000,        378.2902000000000,        412.5643000000000,        1.716370000000000
     0.004967237000000000,        377.8542000000000,        412.7212000000000,        1.719005000000000
     0.005049148000000000,        377.4087000000000,        412.8817000000000,        1.721704000000000
     0.005130267000000000,        376.9603000000000,        413.0436000000000,        1.724429000000000
     0.005212602000000000,        376.4979000000000,        413.2107000000000,        1.727246000000000
     0.005293294000000000,        376.0375000000000,        413.3773000000000,        1.730059000000000
     0.005373618000000000,        375.5723000000000,        413.5460000000000,        1.732910000000000
     0.005454416000000000,        375.0972000000000,        413.7185000000000,        1.735829000000000
     0.005534054000000000,        374.6220000000000,        413.8914000000000,        1.738758000000000
     0.005600000000000000,        374.2233000000000,        414.0366000000000,        1.741222000000000
     0.005683129000000000,        373.7140000000000,        414.2224000000000,        1.744378000000000
     0.005762803000000000,        373.2189000000000,        414.4033000000000,        1.747457000000000
     0.005842458000000000,        372.7169000000000,        414.5870000000000,        1.750587000000000
     0.005920228000000000,        372.2202000000000,        414.7692000000000,        1.753694000000000
     0.005998245000000000,        371.7153000000000,        414.9546000000000,        1.756862000000000
     0.006076049000000000,        371.2051000000000,        415.1423000000000,        1.760074000000000
     0.006153815000000000,        370.6887000000000,        415.3326000000000,        1.763335000000000
