Time_(sec),Volume_(cm3),Temperature_(K),Pressure_(bar)
        0.000000000000000,        399.1019000000000,        408.0000000000000,        1.988199000000000
    8.580681000000000E-05,        399.0976000000000,        408.0015000000000,        1.988229000000000
    0.0001757431000000000,        399.0841000000000,        408.0062000000000,        1.988320000000000
    0.0002651180000000000,        399.0615000000000,        408.0139000000000,        1.988472000000000
    0.0003566491000000000,        399.0288000000000,        408.0250000000000,        1.988690000000000
    0.0004459433000000000,        398.9876000000000,        408.0390000000000,        1.988965000000000
    0.0005349053000000000,        398.9374000000000,        408.0560000000000,        1.989299000000000
    0.0006261340000000000,        398.8765000000000,        408.0766000000000,        1.989704000000000
    0.0007156641000000000,        398.8075000000000,        408.1001000000000,        1.990164000000000
    0.0008045545000000000,        398.7298000000000,        408.1264000000000,        1.990681000000000
    0.0008946655000000000,        398.6418000000000,        408.1562000000000,        1.991267000000000
    0.0009832355000000000,        398.5462000000000,        408.1886000000000,        1.991904000000000
     0.001072138000000000,        398.4412000000000,        408.2242000000000,        1.992604000000000
     0.001100000000000000,        398.4064000000000,        408.2360000000000,        1.992836000000000
     0.001190842000000000,        398.2868000000000,        408.2766000000000,        1.993633000000000
     0.001280122000000000,        398.1600000000000,        408.3196000000000,        1.994479000000000
     0.001370431000000000,        398.0224000000000,        408.3662000000000,        1.995398000000000
     0.001459375000000000,        397.8778000000000,        408.4153000000000,        1.996364000000000
     0.001547548000000000,        397.7254000000000,        408.4671000000000,        1.997383000000000
     0.001636509000000000,        397.5626000000000,        408.5224000000000,        1.998473000000000
     0.001725233000000000,        397.3911000000000,        408.5807000000000,        1.999621000000000
     0.001813514000000000,        397.2116000000000,        408.6417000000000,        2.000826000000000
     0.001900495000000000,        397.0259000000000,        408.7049000000000,        2.002072000000000
     0.001989027000000000,        396.8280000000000,        408.7722000000000,        2.003401000000000
     0.002077204000000000,        396.6219000000000,        408.8424000000000,        2.004787000000000
     0.002164972000000000,        396.4079000000000,        408.9154000000000,        2.006229000000000
     0.002200000000000000,        396.3201000000000,        408.9453000000000,        2.006821000000000
     0.002289788000000000,        396.0884000000000,        409.0243000000000,        2.008384000000000
     0.002376832000000000,        395.8549000000000,        409.1040000000000,        2.009961000000000
     0.002464089000000000,        395.6121000000000,        409.1870000000000,        2.011603000000000
     0.002550151000000000,        395.3641000000000,        409.2718000000000,        2.013283000000000
     0.002635726000000000,        395.1090000000000,        409.3590000000000,        2.015014000000000
     0.002723681000000000,        394.8381000000000,        409.4518000000000,        2.016855000000000
     0.002810024000000000,        394.5635000000000,        409.5459000000000,        2.018724000000000
     0.002895571000000000,        394.2829000000000,        409.6421000000000,        2.020635000000000
     0.002981433000000000,        393.9929000000000,        409.7417000000000,        2.022616000000000
     0.003067124000000000,        393.6950000000000,        409.8441000000000,        2.024653000000000
     0.003152313000000000,        393.3905000000000,        409.9488000000000,        2.026739000000000
     0.003237280000000000,        393.0785000000000,        410.0562000000000,        2.028880000000000
     0.003300000000000000,        392.8428000000000,        410.1374000000000,        2.030501000000000
     0.003386893000000000,        392.5088000000000,        410.2526000000000,        2.032800000000000
     0.003471501000000000,        392.1753000000000,        410.3677000000000,        2.035100000000000
     0.003556313000000000,        391.8328000000000,        410.4861000000000,        2.037469000000000
     0.003640077000000000,        391.4863000000000,        410.6060000000000,        2.039868000000000
     0.003723512000000000,        391.1332000000000,        410.7283000000000,        2.042319000000000
     0.003807426000000000,        390.7700000000000,        410.8543000000000,        2.044846000000000
     0.003890128000000000,        390.4041000000000,        410.9813000000000,        2.047396000000000
     0.003973862000000000,        390.0256000000000,        411.1129000000000,        2.050040000000000
     0.004056093000000000,        389.6461000000000,        411.2450000000000,        2.052697000000000
     0.004138933000000000,        389.2559000000000,        411.3809000000000,        2.055435000000000
     0.004221452000000000,        388.8594000000000,        411.5192000000000,        2.058224000000000
     0.004302570000000000,        388.4620000000000,        411.6581000000000,        2.061026000000000
     0.004384160000000000,        388.0546000000000,        411.8006000000000,        2.063905000000000
     0.004400000000000000,        387.9746000000000,        411.8286000000000,        2.064471000000000
     0.004485206000000000,        387.5395000000000,        411.9810000000000,        2.067555000000000
     0.004565638000000000,        387.1211000000000,        412.1278000000000,        2.070528000000000
     0.004645827000000000,        386.6966000000000,        412.2770000000000,        2.073553000000000
     0.004725054000000000,        386.2698000000000,        412.4271000000000,        2.076600000000000
     0.004805336000000000,        385.8301000000000,        412.5820000000000,        2.079749000000000
     0.004885200000000000,        385.3853000000000,        412.7390000000000,        2.082943000000000
     0.004964448000000000,        384.9366000000000,        412.8975000000000,        2.086173000000000
     0.005044204000000000,        384.4779000000000,        413.0598000000000,        2.089485000000000
     0.005123058000000000,        384.0171000000000,        413.2231000000000,        2.092821000000000
     0.005202674000000000,        383.5446000000000,        413.3909000000000,        2.096251000000000
     0.005281363000000000,        383.0704000000000,        413.5594000000000,        2.099702000000000
     0.005359791000000000,        382.5907000000000,        413.7302000000000,        2.103204000000000
     0.005436646000000000,        382.1138000000000,        413.9002000000000,        2.106695000000000
     0.005500000000000000,        381.7156000000000,        414.0424000000000,        2.109619000000000
     0.005580333000000000,        381.2040000000000,        414.2254000000000,        2.113385000000000
     0.005656477000000000,        380.7122000000000,        414.4016000000000,        2.117016000000000
     0.005732526000000000,        380.2144000000000,        414.5802000000000,        2.120703000000000
     0.005809277000000000,        379.7053000000000,        414.7632000000000,        2.124485000000000
     0.005885466000000000,        379.1932000000000,        414.9476000000000,        2.128301000000000
     0.005967866000000000,        378.6318000000000,        415.1500000000000,        2.132497000000000
